OBS COUNTRY,YR,POP,RGDPCH,RGDPEA,RGDPW,CGDP,CC,CI,CG,P,PC,PI,PG,XR,KAPW,KPDUR,KRES,OPEN,RGNP
SINGAPORE,1988.0,2558,10417,11869.0,21735.0,10417,47.3,37.8,6.6,79.2,67.6,88.3,102.7,2.2,,,,,103.6
SRI LANKA,1987.0,16361,1959,2362.0,5259.0,2120,49.7,21.7,30.6,19.6,30.8,23.4,5.6,29.445,,,,59.8,97.8
SYRIA,,11667,4144,5472.0,16740.0,4460,68.4,15.1,19.6,28.7,31.1,36.0,20.5,11.225,,,,26.4,98.7
TAIWAN,,19904,5708,6629.0,13024.0,6528,52.1,19.1,18.3,93.1,92.9,118.2,69.8,28.17,,,,,
THAILAND,,54499,2879,3468.0,5532.0,3282,62.4,12.9,25.3,32.4,33.1,78.7,12.2,25.294,2859.0,27.7,23.4,70.7,98.3
UNITED ARAB E,1988.0,1350,20529,24410.0,40577.0,20529,36.2,31.8,6.9,97.5,77.8,91.3,199.9,3.671,,,,89.7,100.4
"YEMEN, N ARAB",,8742,1562,2039.0,7431.0,1583,68.8,8.2,28.0,40.2,47.0,71.4,24.7,9.76,,,,44.7,96.5
AUSTRIA,,7563,11201,,23907.0,12353,54.8,28.1,16.6,136.1,138.9,146.9,125.1,12.348,28245.0,45.4,31.9,74.4,99.1
BELGIUM,,9867,11495,12671.0,27481.0,13005,61.2,19.6,15.8,119.9,124.8,124.1,106.2,36.768,42670.0,23.1,46.1,133.9,98.7
CYPRUS,,686,7858,9032.0,16828.0,8434,64.1,22.7,15.1,73.3,72.5,94.0,59.3,0.466,,,,100.2,100.2
DENMARK,,5133,12089,13263.0,21969.0,13607,49.9,17.6,28.0,153.9,166.2,179.3,123.2,6.732,30878.0,34.2,57.9,61.7,96.0
FINLAND,,4944,12360,13673.0,24190.0,13980,50.5,28.0,21.8,152.2,163.2,167.2,118.1,4.183,46451.0,28.6,43.0,49.9,98.0
FRANCE,,55873,12190,13598.0,27140.0,13584,58.9,22.0,18.9,125.1,128.2,134.5,110.5,5.957,38093.0,36.8,49.3,42.9,99.8
GERMANY,,61049,12604,13643.0,26219.0,14621,54.0,20.8,17.5,135.3,137.1,152.7,130.9,1.756,38261.0,33.1,48.5,59.5,100.5
GREECE,,10030,5857,6554.0,15366.0,6436,70.3,15.8,19.6,82.2,80.0,107.4,76.1,141.86,15310.0,26.4,76.2,52.5,98.6
HUNGARY,,10604,5530,6169.0,11166.0,5924,58.7,25.2,14.9,44.6,46.5,50.6,29.6,50.413,,,,72.9,96.2
ICELAND,,249,13204,15160.0,24846.0,14575,65.8,20.0,15.4,161.2,151.5,131.3,178.4,43.014,,,,69.5,96.8
IRELAND,,3574,6238,7302.0,15546.0,7022,51.6,17.7,18.1,114.1,113.2,149.4,100.4,0.656,22741.0,39.4,66.1,119.0,88.1
ITALY,,57470,11741,12919.0,28201.0,13001,61.5,22.0,17.0,110.9,111.7,134.4,98.5,1301.6,32968.0,32.7,67.5,36.6,99.3
LUXEMBOURG,,370,13933,15257.0,33259.0,14293,61.4,23.1,13.7,124.3,116.1,151.3,133.6,36.768,,,,205.1,135.4
MALTA,,345,6802,7718.0,16392.0,7436,64.8,24.5,19.3,71.4,73.1,95.5,56.5,0.331,,,,166.1,104.7
NETHERLANDS,,14760,11468,12541.0,28050.0,12684,60.0,17.5,17.6,121.9,121.2,150.2,107.8,1.977,,,,105.0,99.5
NORWAY,,4205,14376,16553.0,30103.0,13819,49.0,30.7,21.0,156.7,166.6,164.1,133.5,6.517,50932.0,23.4,33.9,71.9,97.8
POLAND,1987.0,37664,4086,4672.0,7928.0,4189,53.8,33.0,12.6,40.6,48.7,39.8,15.9,265.08,,,,41.1,95.4
PORTUGAL,,10162,6321,6050.0,11583.0,5984,58.6,22.2,25.8,68.6,77.1,105.9,32.5,143.95,,,,78.8,98.0
SPAIN,,38997,7406,8380.0,20398.0,8258,61.8,22.8,16.7,105.8,108.0,123.5,83.5,116.49,26221.0,25.4,84.4,40.0,98.9
SWEDEN,,8357,12991,14219.0,25330.0,14941,51.5,18.6,27.8,145.3,149.9,172.7,120.9,6.127,25256.0,33.0,51.7,63.3,98.1
SWITZERLAND,,6545,16155,17654.0,33080.0,17763,62.5,23.3,15.1,159.0,147.7,171.3,118.0,1.463,,,,71.6,105.2
TURKEY,,53772,3598,4369.0,8507.0,3904,65.3,19.3,14.8,33.7,33.8,47.8,17.4,1422.4,,,,46.1,97.0
U.K.,,57019,11982,13251.0,24726.0,13060,64.7,18.7,20.8,110.8,109.6,143.3,85.5,0.562,22600.0,44.0,33.2,50.5,100.2
YUGOSLAVIA,1987.0,23411,4628,5241.0,10191.0,4857,48.3,32.5,17.6,58.6,52.4,42.7,98.8,737.0,,,,46.2,97.5
AUSTRALIA,,16506,13321,15043.0,28490.0,14529,59.6,24.5,16.9,102.6,100.3,115.8,99.9,1.28,29829.0,41.9,39.1,34.4,96.0
FIJI,1987.0,722,3353,4114.0,10090.0,3593,59.6,13.7,24.6,44.6,48.4,45.9,29.6,1.224,,,,82.2,98.8
NEW ZEALAND,,3339,9864,11151.0,21609.0,11308,60.5,19.2,16.3,105.4,104.2,140.0,81.5,1.553,,,,63.4,96.1
PAPUA N. GUINEA,,3804,1696,2129.0,3603.0,1685,55.6,21.3,25.6,49.1,51.7,67.3,35.7,0.875,,,,94.4,94.1
SOLOMON IS.,,304,2282,,,2444,66.4,22.1,22.9,27.3,28.6,54.3,35.6,2.083,,,,165.6,99.7
TONGA,1988.0,97,2135,,,2135,74.2,23.5,18.2,29.6,41.3,54.0,20.7,1.304,,,,102.2,103.2
VANUATU,1988.0,137,1973,,,1973,54.0,27.0,26.2,43.7,48.8,54.2,43.0,106.03,,,,123.4,103.2
WESTERN SAMOA,,168,1744,,,1887,66.6,17.5,29.6,35.8,48.9,68.6,19.4,2.08,,,,95.3,99.7
